,Date,LST
0,01/01/2019,280.17090176425035
1,01/02/2019,281.67866711688055
2,01/03/2019,285.8659825459065
3,01/04/2019,283.2499944716938
4,01/05/2019,275.54605173255237
5,01/06/2019,282.0540905648634
6,01/07/2019,286.0906477483036
7,01/08/2019,283.7033918848249
8,01/09/2019,289.16382930684136
9,01/10/2019,285.85497499348065
10,01/11/2019,281.6266557479331
11,01/12/2019,282.69463351437525
12,01/13/2019,281.07160087734695
13,01/14/2019,277.5949683272547
14,01/15/2019,275.0978104318564
15,01/16/2019,284.35456392446275
16,01/17/2019,279.6652196812943
17,01/18/2019,285.24205120631274
18,01/19/2019,288.9486284965669
19,01/20/2019,283.8126997025321
20,01/21/2019,283.7897608094627
21,01/22/2019,279.53992537678465
22,01/23/2019,286.4737019989204
23,01/24/2019,286.6162882488835
24,01/25/2019,286.3591017803638
25,01/26/2019,289.6557334954748
26,01/27/2019,286.46598888718046
27,01/28/2019,289.1410515113892
28,01/29/2019,284.3159156821635
29,01/30/2019,286.80094011042513
30,01/31/2019,285.826277407607
31,02/01/2019,292.1752315079135
32,02/02/2019,285.00913192101825
33,02/03/2019,287.4262872703458
34,02/04/2019,284.9371695299637
35,02/05/2019,281.2431402405937
36,02/06/2019,283.17209904586616
37,02/07/2019,282.2657726372539
38,02/08/2019,286.0564105363884
39,02/09/2019,284.50577835380284
40,02/10/2019,284.2643268604338
41,02/11/2019,283.9924013761522
42,02/12/2019,284.07899427155905
43,02/13/2019,269.9975873258255
44,02/14/2019,280.54210870742213
45,02/15/2019,281.39168408844006
46,02/16/2019,282.3466205393493
47,02/17/2019,283.4404761155021
48,02/18/2019,281.1587736790041
49,02/19/2019,280.82935234500343
50,02/20/2019,282.2098007748972
51,02/21/2019,278.8017591840965
52,02/22/2019,282.03135372756833
53,02/23/2019,285.2610778543288
54,02/24/2019,289.8653144535849
55,02/25/2019,291.6751254346154
56,02/26/2019,289.04180554639214
57,02/27/2019,291.78062896392674
58,02/28/2019,289.550951314525
59,03/01/2019,291.5722711422966
60,03/02/2019,289.7755839616176
61,03/03/2019,293.6897126467829
62,03/04/2019,288.8281002666547
63,03/05/2019,300.2863924997898
64,03/06/2019,287.45130748685426
65,03/07/2019,290.2216018051622
66,03/08/2019,287.783003950823
67,03/09/2019,286.68152210502683
68,03/10/2019,284.5591661309116
69,03/11/2019,285.66541991190775
70,03/12/2019,291.1716178819352
71,03/13/2019,287.35012074979176
72,03/14/2019,291.2812259247276
73,03/15/2019,290.6647989630524
74,03/16/2019,293.4994767051408
75,03/17/2019,296.4376371499346
76,03/18/2019,296.67040777934096
77,03/19/2019,298.49515240838747
78,03/20/2019,289.6420075353472
79,03/21/2019,291.62464622181295
80,03/22/2019,296.25131744793225
81,03/23/2019,298.69618005154484
82,03/24/2019,293.2032745436888
83,03/25/2019,300.85781827564824
84,03/26/2019,293.2048167997021
85,03/27/2019,290.3351970182011
86,03/28/2019,297.25928795700446
87,03/29/2019,293.91495142096846
88,03/30/2019,295.245265490717
89,03/31/2019,297.2299340412577
90,04/01/2019,302.3359527808884
91,04/02/2019,302.97762727631294
92,04/03/2019,298.72961635280683
93,04/04/2019,303.570703997177
94,04/05/2019,300.75902900532765
95,04/06/2019,302.292942696055
96,04/07/2019,299.8386127385442
97,04/08/2019,307.35042551001504
98,04/09/2019,296.3292239873614
99,04/10/2019,293.29216416830894
100,04/11/2019,300.08823989831416
101,04/12/2019,294.36237936114406
102,04/13/2019,301.620578310312
103,04/14/2019,301.13850470602836
104,04/15/2019,301.2096150664716
105,04/16/2019,293.32606496925735
106,04/17/2019,298.044185792075
107,04/18/2019,303.9578575217859
108,04/19/2019,301.45477998667394
109,04/20/2019,307.2676231831383
110,04/21/2019,297.12255767485664
111,04/22/2019,301.97772387747744
112,04/23/2019,304.4386375407203
113,04/24/2019,306.82308544192125
114,04/25/2019,308.8925750604452
115,04/26/2019,305.5722324653599
116,04/27/2019,306.0589164206209
117,04/28/2019,300.315658049092
118,04/29/2019,300.8944665532405
119,04/30/2019,299.7864028521675
120,05/01/2019,301.1587682532224
121,05/02/2019,302.45217019696844
122,05/03/2019,301.2685216639183
123,05/04/2019,307.5515090724473
124,05/05/2019,300.2536821879143
125,05/06/2019,304.0864921521824
126,05/07/2019,301.33709485189377
127,05/08/2019,305.1547912037551
128,05/09/2019,303.7447724513448
129,05/10/2019,299.6703182289503
130,05/11/2019,305.03367760815263
131,05/12/2019,304.36644168697103
132,05/13/2019,308.73244820594203
133,05/14/2019,304.13597817165027
134,05/15/2019,310.6466749478202
135,05/16/2019,301.1193875126503
136,05/17/2019,304.30845632159077
137,05/18/2019,303.1535421686747
138,05/19/2019,299.902390503015
139,05/20/2019,298.97560725928236
140,05/21/2019,301.34985199867856
141,05/22/2019,295.5299384480639
142,05/23/2019,296.30437849488743
143,05/24/2019,303.7488909837498
144,05/25/2019,302.24996763063183
145,05/26/2019,303.18039415860295
146,05/27/2019,301.1999138219885
147,05/28/2019,301.61357561576204
148,05/29/2019,306.36348885482596
149,05/30/2019,302.2233815858256
150,05/31/2019,307.89788737078123
151,06/01/2019,305.9490181521987
152,06/02/2019,307.36690700097915
153,06/03/2019,307.58917969719005
154,06/04/2019,308.33567534361976
155,06/05/2019,312.5671386226728
156,06/06/2019,303.26591128598903
157,06/07/2019,307.77199942768823
158,06/08/2019,304.1020919541886
159,06/09/2019,309.56127291913424
160,06/10/2019,308.55199459543275
161,06/11/2019,310.8072963028549
162,06/12/2019,313.74899852109274
163,06/13/2019,306.955973534327
