,NDVI,LST,TA,Class
0,0.539432685,284.3310625,5,0
1,0.5416939820000001,284.70365110000006,5,0
2,0.543955278,285.61375439999995,5,0
3,0.546216575,285.38158960000004,5,0
4,0.548477871,278.4917647,5,0
5,0.550739167,280.78937310000003,5,0
6,0.553000464,283.0869815,5,0
7,0.55526176,281.1942455,4,0
8,0.557523057,279.30150939999993,5,0
9,0.559784353,288.7109008,5,0
10,0.56204565,280.8531707,5,0
11,0.564306946,288.2543673,5,0
12,0.566568242,282.8570102,5,0
13,0.568829539,277.42,5,0
14,0.571090835,277.99010419999996,5,0
15,0.573352132,278.5602083,4,0
16,0.5756134279999999,279.1303125,4,0
17,0.576359055,282.7699557,5,0
18,0.577104681,286.40959889999993,5,0
19,0.5778503079999999,285.82010049999997,5,0
20,0.578595935,286.6064269,5,0
21,0.579341561,284.4807278,5,0
22,0.5800871879999999,288.4389153,8,0
23,0.580832815,290.114134,5,0
24,0.581578441,288.4695154,5,0
25,0.5823240679999999,287.29722410000005,5,0
26,0.583069695,286.1249327,5,0
27,0.583815321,290.0761137,5,0
28,0.584560948,289.37146160000003,5,0
29,0.585306575,290.73177180000005,5,0
30,0.586052201,290.0213764,5,0
31,0.586797828,287.5629833,5,0
32,0.587543455,285.10459019999996,5,0
33,0.585964167,284.76980469999995,5,0
34,0.58438488,284.4350192,5,0
35,0.582805593,282.2808679,5,0
36,0.581226305,286.05703589999996,5,0
37,0.579647018,278.08229769999997,5,0
38,0.578067731,281.7719298,5,0
39,0.576488444,285.4684793,5,0
40,0.574909156,282.2914012,5,0
41,0.5733298689999999,286.39628030000006,5,0
42,0.5717505820000001,285.77173369999997,5,0
43,0.570171294,285.14718710000005,5,0
44,0.568592007,284.52264049999997,5,0
45,0.56701272,283.8980938,5,0
46,0.5654334320000001,282.0436728,5,0
47,0.563854145,282.51339029999997,5,0
48,0.562274858,286.0564487,5,0
49,0.56587406,286.23382339999995,5,0
50,0.569473262,286.7685039,5,0
51,0.573072464,285.3625235,5,0
52,0.576671666,288.8684018,5,0
53,0.5802708679999999,285.2089881,5,0
54,0.58387007,290.6901987,5,0
55,0.587469272,283.0647761,5,0
56,0.591068474,285.80891610000003,5,0
57,0.594667676,288.55305610000005,5,0
58,0.598266879,288.4464057,5,0
59,0.601866081,287.53236569999996,5,0
60,0.605465283,286.61832569999996,5,0
61,0.609064485,285.70428569999996,5,0
62,0.6126636870000001,285.71351769999995,5,0
63,0.616262889,285.72274960000004,4,0
64,0.619862091,285.7319816,5,0
65,0.621956567,286.0970633,5,0
66,0.6240510429999999,286.462145,5,0
67,0.62614552,281.7334728,5,0
68,0.628239996,280.8211111,5,0
69,0.630334472,291.31671800000004,5,0
70,0.6324289479999999,291.9722636,5,0
71,0.634523424,292.1918962,5,0
72,0.6366179,292.613698,5,0
73,0.638712376,295.33723639999994,5,0
74,0.640806853,295.41549130000004,5,0
75,0.642901329,295.0091876,5,0
76,0.644995805,298.3317519,5,0
77,0.647090281,293.86925160000004,5,0
78,0.649184757,289.4067514,5,0
79,0.651279233,293.2225816,5,0
80,0.653373709,292.3227798,5,0
81,0.653120715,291.422978,5,0
82,0.65286772,289.6564692,5,0
83,0.652614725,290.5091227,5,0
84,0.65236173,291.3617762,5,0
85,0.652108735,284.2413333,5,0
86,0.65185574,293.15504480000004,5,0
87,0.651602745,292.7442857,5,0
88,0.65134975,295.1029893,5,0
89,0.651096755,299.6215425,5,0
90,0.65084376,298.0121188,5,0
91,0.650590765,296.402695,5,0
92,0.650337771,294.7932713,5,0
93,0.650084776,293.1838475,5,0
94,0.649831781,291.5744238,5,0
95,0.649578786,289.965,5,0
96,0.649325791,295.1287115,5,0
97,0.647213193,295.7698127,5,0
98,0.645100594,296.410914,5,0
99,0.642987996,294.5015979,5,0
100,0.6408753970000001,295.7802995,5,0
101,0.638762799,297.05900110000005,5,0
102,0.636650201,295.2694883,5,0
103,0.634537602,294.77569339999997,5,0
104,0.632425004,294.2786111,5,0
105,0.630312406,294.22564869999997,5,0
106,0.628199807,296.8142794,5,0
107,0.626087209,303.2437797,5,0
108,0.62397461,296.07695839999997,5,0
109,0.621862012,298.7041176,5,0
110,0.6197494139999999,299.889691,5,0
111,0.617636815,302.2750788,5,0
112,0.615524217,305.71317569999997,5,0
113,0.610267946,304.8257849,5,0
114,0.605011674,307.30754989999997,5,0
115,0.599755403,296.5080916,5,0
116,0.5944991310000001,300.1796149,5,0
117,0.58924286,300.351055,5,0
118,0.583986589,301.59919249999996,5,0
119,0.578730317,300.35077810000007,5,0
120,0.573474046,300.2281729,5,0
121,0.568217775,306.2387842,5,0
122,0.5629615029999999,299.70720839999996,5,0
123,0.557705232,305.29098419999997,5,0
124,0.55244896,295.45309460000004,5,0
125,0.547192689,299.1746886,5,0
126,0.5419364179999999,300.01532430000003,5,0
127,0.536680146,300.24569180000003,5,0
128,0.531423875,300.433666,5,0
129,0.527705195,300.4191233,5,0
130,0.523986514,305.93710530000004,5,0
131,0.520267834,300.06624,5,0
132,0.5165491529999999,300.7250776,5,0
133,0.512830473,290.89,5,0
134,0.509111792,293.02778739999997,5,0
135,0.505393112,295.16557489999997,5,0
136,0.501674431,297.3033623,5,0
137,0.497955751,293.5659365,5,0
138,0.49423707,289.8285106,5,0
139,0.49051839,291.9430508,5,0
140,0.48679970899999997,288.09130239999996,5,0
141,0.483081029,298.8405131,5,0
142,0.479362348,297.2186943,5,0
143,0.47564366799999996,300.98380360000004,5,0
144,0.471924987,302.752241,5,0
145,0.468960473,293.4292256,5,0
146,0.465995958,297.3646521,5,0
147,0.46303144399999996,300.0357012,5,0
148,0.46006692899999996,307.16024,5,0
149,0.457102415,300.9890979,5,0
150,0.4541379,305.8654341,5,0
151,0.451173386,308.0965546,5,0
152,0.44820887200000004,301.78799489999994,5,0
153,0.44524435700000004,308.2616108,5,0
154,0.44227984299999995,307.4392693,5,0
155,0.43931532799999995,313.7774008,5,0
156,0.436350814,300.95119869999996,5,0
157,0.433386299,306.9947088,5,0
158,0.430421785,307.30972710000003,5,0
159,0.427457271,310.91840030000003,9,0
160,0.424492756,314.52707339999995,5,0
161,0.42325189799999996,312.49949849999996,5,0
162,0.42201104100000003,317.1314436,5,0
163,0.42077018299999996,305.1712277,8,0
164,0.419529325,308.8990653,5,0
165,0.41828846799999997,307.6866981,5,0
166,0.41704761,306.4743308,5,0
167,0.415806753,309.220845,5,0
168,0.414565895,311.5327211,5,0
169,0.413325037,310.80699530000004,5,0
170,0.41208418,301.3817096,5,0
171,0.410843322,310.8675394,5,0
172,0.409602464,306.72571,5,0
173,0.408361607,310.917551,5,0
174,0.407120749,305.61,5,0
175,0.405879891,305.3975137,5,0
176,0.404639034,305.18502739999997,5,0
177,0.403528499,305.57836430000003,5,0
178,0.402417965,305.9717011,5,0
179,0.401307431,296.71846150000005,5,0
180,0.40019689700000005,310.83932410000006,5,0
181,0.39908636299999994,306.1662973,5,0
182,0.397975829,306.7335065,5,0
183,0.396865295,308.5942189,5,0
184,0.395754761,305.8411809,5,0
185,0.39464422600000004,311.2382413,5,1
186,0.39353369200000005,305.292167,5,0
187,0.392423158,306.5116462,5,0
188,0.391312624,302.4652577,5,0
189,0.39020209,306.0643713,9,0
190,0.389091556,306.01455939999994,5,0
191,0.387981022,307.8397508,5,0
192,0.38687048700000004,308.328283,5,1
193,0.386765575,308.81681519999995,5,0
194,0.38666066299999996,311.83318219999995,5,0
195,0.38655575,307.6852975,5,0
196,0.38645083799999996,312.07929839999997,5,0
197,0.386345925,305.7596903,5,0
198,0.38624101299999997,306.2462567,5,0
199,0.386136101,310.3422756,5,0
200,0.38603118799999997,305.6871627,5,0
201,0.385926276,312.4776708,5,0
202,0.385821363,311.5076617,5,0
203,0.385716451,312.7719039,5,0
204,0.385611539,316.6577986,5,0
205,0.385506626,310.9170762,5,0
206,0.385401714,309.821213,5,0
207,0.385296801,310.9457046,5,0
208,0.385191889,316.1950905,5,0
209,0.384734136,308.0895863,5,0
210,0.38427638299999994,309.0543099,5,0
211,0.38381863,307.13642289999996,5,0
212,0.38336087799999996,310.24383589999997,5,0
213,0.382903125,307.7802041,5,0
214,0.382445372,311.96716810000004,5,0
215,0.381987619,311.35734130000003,5,0
216,0.381529866,312.2598328,5,0
217,0.38107211399999996,313.1623242,5,0
218,0.380614361,305.06192819999995,5,0
219,0.38015660799999995,307.3421095,5,0
220,0.379698855,304.45779300000004,9,0
221,0.37924110200000005,307.60487439999997,5,0
222,0.378783349,309.59011989999993,5,0
223,0.378325597,305.52145989999997,5,0
224,0.377867844,315.6008876,5,0
225,0.377949559,316.64948589999995,5,0
226,0.378031274,319.1461585,5,0
227,0.37811299,310.74267280000004,5,0
228,0.378194705,310.62526119999995,5,0
229,0.37827642,307.4134373,5,0
230,0.378358135,306.97587969999995,5,0
231,0.37843985,306.0323542,5,0
232,0.37852156600000003,309.722371,5,1
233,0.378603281,313.4123878,5,0
234,0.378684996,297.7539063,5,0
235,0.37876671100000003,311.2883834,5,0
236,0.37884842700000004,308.4802713,5,0
237,0.378930142,314.2121755,5,0
238,0.379011857,309.6846148,5,0
239,0.37909357200000005,307.3096625,5,0
240,0.379175287,306.98505939999995,5,0
241,0.379222459,304.5160298,5,0
242,0.37926963,313.9944716,5,1
243,0.37931680100000004,310.8749104,5,0
244,0.37936397200000005,311.8201131,5,1
245,0.37941114299999995,306.6614038,5,0
246,0.379458315,310.9206711,5,0
247,0.379505486,305.5581371,5,0
248,0.379552657,304.08133050000004,5,0
249,0.379599828,300.4677778,5,0
250,0.379646999,301.7855718,5,0
251,0.37969417,307.1767156,5,0
252,0.37974134200000004,301.72900350000003,5,0
253,0.379788513,308.2870508,5,0
254,0.379835684,310.4463534,5,0
255,0.379882855,312.12037860000004,5,0
256,0.37993002600000003,313.79440389999996,5,0
257,0.379654293,307.33616980000005,5,0
258,0.379378559,300.87793569999997,5,0
259,0.379102825,302.133595,5,0
260,0.378827091,297.30575760000005,5,0
261,0.37855135700000003,302.59098860000006,5,0
262,0.37827562299999995,305.6831076,5,0
263,0.377999889,308.20743050000004,5,0
264,0.37772415600000003,304.2377998,5,0
265,0.377448422,306.6566704,5,0
266,0.377172688,307.0470807,5,0
267,0.376896954,307.7525584,5,0
268,0.37662122,302.5985296,5,0
269,0.376345486,303.3112021,5,0
270,0.37606975200000003,298.87766400000004,5,0
271,0.37579401799999995,298.7004016,5,0
272,0.375518285,298.0610957,5,0
273,0.37519281200000004,298.0096472,9,0
274,0.37486734,304.19201200000003,5,0
275,0.37454186799999994,299.8558872,5,0
276,0.374216396,301.84378730000003,5,0
277,0.37389092399999996,302.904556,5,0
278,0.373565452,305.5595006,5,0
279,0.373239979,307.61950299999995,5,0
280,0.372914507,305.8074421,5,1
281,0.372589035,301.84602110000003,5,0
282,0.37226356299999996,296.1037477,5,0
283,0.371938091,302.743121,5,0
284,0.371612619,302.178958,5,0
285,0.371287146,302.78585489999995,5,0
286,0.37096167399999996,301.56406949999996,5,0
287,0.370636202,299.881529,5,0
288,0.37031073,300.13552169999997,5,0
289,0.370536884,296.37698489999997,5,0
290,0.370763038,298.5111508,5,0
291,0.370989192,292.5827646,5,0
292,0.371215346,300.7742922,5,0
293,0.3714415,302.14414,5,0
294,0.371667655,303.91650960000004,5,0
295,0.37189380899999996,304.0418797,5,0
296,0.37211996299999994,300.4133686,5,1
297,0.37234611700000003,306.8035485,5,1
298,0.372572271,301.06886000000003,5,1
299,0.372798425,294.9823675,5,1
300,0.37302457899999997,297.500634,5,0
301,0.37325073299999995,295.59310619999997,5,0
302,0.37347688700000004,295.5730842,5,0
303,0.37370304200000004,295.7040518,5,0
304,0.373929196,298.9119377,5,0
305,0.37623181200000005,293.88103789999997,5,0
306,0.378534428,300.8056767,5,0
307,0.38083704399999996,298.7454387,5,0
308,0.383139661,299.7011128,5,0
309,0.38544227700000006,296.4985574,5,0
