,NDVI,LST,TA,CLASS
0,0.241233333,280.1709018,5,0
1,0.242536458,281.6786671,5,0
2,0.243839583,285.86598250000003,5,0
3,0.24514270800000001,283.24999449999996,5,0
4,0.246445833,275.5460517,4,0
5,0.24774895800000002,282.05409060000005,4,0
6,0.249052083,286.0906477,5,0
7,0.250355208,283.7033919,5,0
8,0.251658333,289.16382930000003,5,0
9,0.25296145800000003,285.854975,5,0
10,0.254264583,281.6266557,5,0
11,0.255567708,282.6946335,5,0
12,0.256870833,281.07160089999996,5,0
13,0.258173958,277.5949683,5,0
14,0.259477083,275.09781039999996,4,0
15,0.260780208,284.3545639,5,0
16,0.26208333300000003,279.66521969999997,5,0
17,0.26283375,285.2420512,5,0
18,0.263584167,288.94862850000004,5,0
19,0.264334583,283.8126997,5,0
20,0.265085,283.7897608,5,0
21,0.265835417,279.53992539999996,5,0
22,0.266585833,286.473702,5,0
23,0.26733625,286.6162882,5,0
24,0.268086667,286.3591018,5,0
25,0.26883708300000003,289.6557335,5,0
26,0.2695875,286.4659889,5,0
27,0.270337917,289.1410515,5,0
28,0.271088333,284.31591569999995,5,0
29,0.27183875,286.8009401,5,0
30,0.27258916699999997,285.8262774,5,0
31,0.273339583,292.1752315,5,0
32,0.27409,285.00913189999994,4,0
33,0.27470500000000003,287.4262873,5,0
34,0.27532,284.9371695,4,0
35,0.275935,281.24314019999997,4,0
36,0.27655,283.172099,5,0
37,0.277165,282.26577260000005,5,0
38,0.27778,286.05641049999997,5,0
39,0.278395,284.5057784,5,0
40,0.27901,284.26432689999996,5,0
41,0.279625,283.9924014,5,0
42,0.28024,284.0789943,5,0
43,0.280855,269.9975873,4,0
44,0.28147,280.54210869999997,4,0
45,0.282085,281.3916841,5,0
46,0.2827,282.34662050000003,5,0
47,0.283315,283.44047610000007,5,0
48,0.28393,281.1587737,5,0
49,0.293131097,280.8293523,5,0
50,0.302332194,282.2098008,5,0
51,0.311533291,278.8017592,4,0
52,0.320734388,282.0313537,5,0
53,0.329935485,285.2610779,5,0
54,0.339136582,289.8653145,5,0
55,0.348337679,291.67512539999996,5,0
56,0.357538776,289.0418055,5,0
57,0.366739873,291.780629,5,0
58,0.37594097,289.5509513,5,0
59,0.38514206700000003,291.5722711,5,0
60,0.39434316399999997,289.775584,5,0
61,0.403544261,293.6897126,5,0
62,0.41274535799999995,288.8281003,5,0
63,0.421946455,300.2863925,4,0
64,0.43114755200000004,287.45130750000004,5,0
65,0.430027841,290.22160180000003,5,0
66,0.42890812899999997,287.783004,5,0
67,0.42778841799999995,286.68152210000005,5,0
68,0.426668706,284.5591661,5,0
69,0.425548995,285.66541989999996,5,0
70,0.424429283,291.17161789999994,5,0
71,0.423309572,287.3501207,8,0
72,0.42218986,291.2812259,8,0
73,0.421070149,290.664799,5,0
74,0.419950437,293.4994767,5,0
75,0.41883072600000004,296.4376371,5,0
76,0.417711014,296.6704078,5,0
77,0.41659130200000005,298.4951524,5,0
78,0.41547159100000003,289.64200750000003,5,0
79,0.414351879,291.6246462,5,0
80,0.41323216799999996,296.25131739999995,5,0
81,0.40904408,298.69618010000005,5,0
82,0.40485599299999997,293.2032745,5,0
83,0.400667905,300.8578183,5,0
84,0.396479818,293.2048168,5,0
85,0.39229173,290.335197,5,0
86,0.38810364299999994,297.25928799999997,5,0
87,0.383915555,293.9149514,5,0
88,0.37972746799999996,295.24526549999996,5,0
89,0.37553938,297.22993399999996,5,0
